survyear	fipst	leaid	totd912	ebs912	drp912	totdpl	afgeb	afgr	totohc
2007-08	17	1732520	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	17	1732550	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	17	1732580	30	4483	0.7	1149	-2	-2.0	-2
2007-08	17	1732670	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	17	1732700	18	642	2.8	141	-2	-2.0	-2
2007-08	17	1732770	-3	206	-3.0	43	53	81.1	-2
2007-08	17	1732830	11	297	3.7	64	86	74.4	-2
2007-08	17	1732850	-2	-2	-2.0	-2	-2	-2.0	-2
2007-08	17	1732910	121	5020	2.4	965	-2	-2.0	-2
2007-08	17	1732960	5	295	1.7	73	83	88.0	-2
