School District,,,LEAID,,,,,,,,,,,,,,,,,PovertyRate,
Baldwin Union Free School District,NY,,3603840,"33,643",6.81,19.23,11.58,37.9,58.41,26.5,0.48,5.23,0,14.58,92.2,43.7,7.31,"102,658","111,775",3.7,"443,300"
Baldwinsville Central School District,NY,,3603870,"33,827",5.21,18.45,13.03,41,95.41,1.65,0.06,1.35,0,1.19,92.3,33.1,0.82,"59,666","76,849",6.7,"128,200"
Ballston Spa Central School District,NY,,3603930,"26,188",5.33,16.92,12.95,39,95.38,1.88,0.05,0.55,0,2.17,88.8,26.2,0.57,"59,658","74,250",6.5,"186,400"
Barker Central School District,NY,,3603960,"4,674",5.24,22.55,11.98,40,96.19,0.75,1.18,0.09,0,2.5,88.5,13.3,1.04,"50,781","60,476",10.6,"101,200"
Batavia City School District,NY,,3603990,"18,353",5.42,16.23,20.03,41.6,93.1,4.12,0.09,0.52,0,1.26,89.6,21.4,0.96,"39,712","51,385",16.3,"94,500"
Bath Central School District,NY,,3604050,"10,815",4.19,15.1,20.18,45.4,93.74,4.13,0.34,0,0,1.36,79.6,14.5,1.87,"36,071","49,361",16,"81,100"
Bay Shore Union Free School District,NY,,3604080,"36,331",7.19,16.48,12.64,41.2,68.72,19.1,0.31,4.3,0,22.3,85.7,27.3,11.49,"78,178","90,330",7.2,"395,100"
Bayport-Blue Point Union Free School District,NY,,3604110,"15,010",6.32,20.12,14.42,40.4,93.58,3.48,0.26,0.98,0,3.1,93.7,36.5,1.14,"80,087","95,794",5,"450,700"
Beacon City School District,NY,,3604140,"25,941",5.98,15.2,10.2,37.5,69.55,19.42,0.12,2.53,0,15.2,86,24.5,4.54,"66,481","74,954",9.1,"298,300"
Beaver River Central School District,NY,,3604200,"5,396",6.6,16.14,15.77,40.9,96.76,1.56,0.17,0,0,0.8,85.7,12.3,0.42,"41,968","48,202",13.6,"95,500"
Bedford Central School District,NY,,3619950,"28,063",6.73,17.78,13.53,40.9,80.22,4.95,0.11,3.44,0,16.19,87.2,51.6,12.66,"97,536","127,500",5.4,"743,800"
Beekmantown Central School District,NY,,3604290,"13,055",4.75,17.52,11.78,40.9,95.27,0.61,0.09,1.03,0,2.14,83.9,21.4,1.78,"53,174","66,469",10.3,"113,100"
Belfast Central School District,NY,,3604350,"2,262",5.79,15.83,15.87,40.3,97.97,1.46,0,0,0,2.61,84.8,15.6,0.42,"39,886","47,625",17,"61,300"
Belleville Henderson Central School District,NY,,3604370,"4,062",4.85,18.71,18.41,42.3,98.4,0.12,0.12,0.49,0.3,0.25,86.2,18.7,1.42,"38,333","53,750",9.8,"116,300"
Bellmore Union Free School District,NY,,3604410,"12,577",5.63,18.53,14.39,41.7,93.28,0.45,0,2.88,0,3.96,90.7,42.8,5.21,"113,585","122,486",1.1,"548,500"
Bellmore-Merrick Central High School District,NY,,3619020,"72,102",5.76,18.7,13.32,41.7,92.3,1.18,0.04,4.14,0,4.97,93.8,42.5,4.12,"109,805","120,783",1.9,"492,700"
Bemus Point Central School District,NY,,3604530,"5,363",3.65,17.62,20.57,45.5,97.84,0.35,0,0,0.62,2.63,92.8,32.5,0.29,"51,917","69,623",4.5,"122,200"
Berlin Central School District,NY,,3604620,"6,446",3.24,16.12,14.68,43.8,97.38,0.28,0,0.42,0,0.82,87.8,19.5,0.42,"52,779","66,207",7.5,"147,600"
Berne-Knox-Westerlo Central School District,NY,,3604650,"6,568",4.32,20.34,10.99,41.9,93.1,5.57,0,0.69,0,0.12,92.1,24,1.46,"67,561","77,939",3.9,"179,800"
Bethlehem Central School District,NY,,3604710,"26,790",5.42,20.07,12.73,42.4,92.58,1.47,0.11,3.49,0.12,2.33,96,57,2.95,"86,384","103,278",4.4,"261,200"
Bethpage Union Free School District,NY,,3604740,"20,579",6.1,15.91,18.86,43,90.24,0.54,0,7.95,0,5.25,91.1,35.9,7.36,"90,000","102,549",1.9,"476,100"
Binghamton City School District,NY,,3604870,"44,803",5.59,14.83,16.89,38.4,81.11,9.7,0.31,3.73,0.08,5,83.6,23.5,4.5,"29,813","39,176",26.4,"80,700"
Binghamton Common School District,NY,,3604800,481,2.29,14.76,22.45,52.5,93.97,0,0,2.49,0,1.46,100,71.6,2.13,"104,750","144,375",4.4,"267,000"
Blind Brook-Rye Union Free School District,NY,,3624630,"6,427",6.64,24.23,20.16,42.7,93.43,0.33,0,5.41,0,4.78,98,64.5,4,"154,727","196,357",5.3,"851,800"
Bloomfield Central School District,NY,,3604920,"6,543",3.99,17.51,12.69,44,95.03,0.58,0.05,0.03,0,3.45,91.1,28.6,2.52,"62,127","71,627",6.2,"139,800"
